player_id,stat_type,name,percent_owned,status,ownership,FGM/A,FTM/A,GP,MIN,FGA,FGM,FG%,FTA,FTM,FT%,3PTA,3PTM,3PT%,PTS,OFFREB,DEFREB,REB,AST,ST,BLK,TO,PF,IMPACT_FG,IMPACT_FT
3704,lastweek,LeBron James,100,GTD,THANKS 4 DAFREEBANDZ,23/36,5/9,2,62,36,23,0.639,9,5,0.556,13,6,0.462,57,2,9,11,10,4,3,5,3,7.3365826612903176,0.7443649193548383
3706,lastweek,Carmelo Anthony,56,,World B. Flat,24/43,10/12,3,89,43,24,0.558,12,10,0.833,20,9,0.45,67,1,6,7,9,5,3,5,3,5.711564516129028,4.258729838709676
3818,lastweek,Dwight Howard,11,,Mount Zion💪🏾,8/10,3/6,2,27,10,8,0.8,6,3,0.5,1,1,1.0,20,3,7,10,2,2,1,2,3,3.839854838709676,0.2786189516129028
3930,lastweek,Chris Paul,99,,THANKS 4 DAFREEBANDZ,9/18,7/8,3,86,18,9,0.5,8,7,0.875,8,4,0.5,29,0,15,15,28,2,0,9,3,1.6198366935483848,3.275110887096773
3971,lastweek,Lou Williams,57,,Josh's Unreal Team,15/37,8/9,3,73,37,15,0.405,9,8,0.889,8,4,0.5,42,0,4,4,11,2,0,8,5,1.2747278225806418,3.854983870967741
4130,lastweek,LaMarcus Aldridge,85,GTD,The Stephfather,0/0,2/2,1,15,3,0,0.0,2,2,1.0,2,0,0.0,2,1,3,4,0,0,0,2,3,-0.0,1.1857459677419353
4152,lastweek,Kyle Lowry,98,,World B. Flat,10/29,9/11,2,75,29,10,0.345,11,9,0.818,16,6,0.375,35,2,5,7,25,2,1,5,6,0.24981854838709405,3.697856854838708
4244,lastweek,Kevin Durant,100,INJ,Herro Ball,0/0,0/0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
4245,lastweek,Al Horford,82,,ahmad's Team,5/12,0/0,1,29,12,5,0.417,0,0,0.0,3,0,0.0,10,2,2,4,1,0,2,1,4,0.48490927419354707,-0.0
4246,lastweek,Mike Conley,86,,Ryan's Team,10/25,3/3,2,63,25,10,0.4,3,3,1.0,9,5,0.556,28,1,4,5,10,2,0,1,6,0.7998185483870945,1.778618951612903
4247,lastweek,Jeff Green,12,GTD,Keldon's Johnson,0/0,0/0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
4290,lastweek,Thaddeus Young,74,,Mount Zion💪🏾,14/19,2/3,2,56,19,14,0.737,3,2,0.667,0,0,0.0,30,3,7,10,7,6,3,4,3,5.837745967741932,0.5197459677419353
4387,lastweek,Derrick Rose,64,INJ,JR Dreamers,6/14,0/0,1,32,14,6,0.429,1,0,0.0,3,2,0.667,14,0,3,3,5,0,2,2,2,0.6538911290322565,-0.0
4390,lastweek,Russell Westbrook,100,,JR Dreamers,27/57,14/28,3,108,57,27,0.474,28,14,0.5,16,6,0.375,74,5,21,26,30,8,1,14,11,4.157510080645154,1.3002217741935462
4391,lastweek,Kevin Love,75,INJ,Mount Zion💪🏾,0/0,0/0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
4468,lastweek,Danilo Gallinari,58,,Check Da Statistacss,12/35,6/6,3,83,35,12,0.343,6,6,1.0,23,7,0.304,37,1,16,17,8,5,1,1,6,0.2757822580645135,3.557237903225806
4469,lastweek,Eric Gordon,52,GTD,JR Dreamers,1/10,3/3,1,23,10,1,0.1,3,3,1.0,5,0,0.0,5,0,2,2,2,0,0,2,4,-0.22001814516129056,1.778618951612903
4472,lastweek,Brook Lopez,75,,Ay-ton of drugs,12/27,6/6,3,83,27,12,0.444,6,6,1.0,15,4,0.267,34,3,11,14,2,3,3,4,9,1.4877822580645133,3.557237903225806
4486,lastweek,Serge Ibaka,78,,Ryan's Team,9/24,0/0,3,73,24,9,0.375,0,0,0.0,11,4,0.364,22,3,16,19,5,1,5,1,11,0.4948366935483849,-0.0
4487,lastweek,Nicolas Batum,46,,World B. Flat,9/22,3/3,3,90,22,9,0.409,3,3,1.0,16,6,0.375,27,0,15,15,10,2,0,3,7,0.8008366935483846,1.778618951612903
4497,lastweek,DeAndre Jordan,66,,THANKS 4 DAFREEBANDZ,8/14,2/2,2,64,14,8,0.571,2,2,1.0,0,0,0.0,18,6,17,23,8,0,3,4,3,2.007854838709675,1.1857459677419353
4507,lastweek,Goran Dragic,66,,World B. Flat,14/30,10/10,3,91,30,14,0.467,10,10,1.0,9,2,0.222,40,0,9,9,10,2,1,6,8,2.0577459677419325,5.9287298387096765
4563,lastweek,James Harden,100,,Ryan's Team,22/38,8/11,2,85,38,22,0.579,11,8,0.727,15,7,0.467,59,4,20,24,29,5,1,8,3,5.697600806451606,2.5589838709677406
4610,lastweek,Ricky Rubio,63,,ahmad's Team,9/19,4/4,2,49,19,9,0.474,4,4,1.0,9,4,0.444,26,1,5,6,15,4,0,7,3,1.3858366935483848,2.3714919354838706
4612,lastweek,Stephen Curry,100,,The Stephfather,18/41,8/10,2,62,41,18,0.439,10,8,0.8,21,7,0.333,51,1,10,11,12,6,0,7,3,2.1416733870967697,3.142983870967741
4614,lastweek,DeMar DeRozan,97,,Mount Zion💪🏾,19/47,14/15,3,108,47,19,0.404,15,14,0.933,3,0,0.0,52,3,13,16,26,4,0,7,7,1.5956552419354797,7.362221774193548
4622,lastweek,Jrue Holiday,97,,World B. Flat,9/25,2/4,3,59,25,9,0.36,4,2,0.5,10,1,0.1,21,2,1,3,9,3,0,6,5,0.35983669354838477,0.1857459677419352
4716,lastweek,John Wall,94,,Mount Zion💪🏾,27/70,22/31,3,108,70,27,0.386,31,22,0.71,21,6,0.286,82,1,4,5,10,1,2,11,1,1.781510080645155,6.663205645161287
4724,lastweek,Gordon Hayward,97,,THANKS 4 DAFREEBANDZ,10/18,3/4,1,31,18,10,0.556,4,3,0.75,6,0,0.0,23,1,4,5,9,5,0,2,2,2.3598185483870946,1.0286189516129027
4725,lastweek,Paul George,100,GTD,World B. Flat,19/47,3/3,2,77,47,19,0.404,3,3,1.0,25,7,0.28,48,3,9,12,11,1,1,5,7,1.5956552419354797,1.778618951612903
4749,lastweek,Eric Bledsoe,79,,Herro Ball,10/27,9/10,3,105,27,10,0.37,10,9,0.9,11,3,0.273,32,0,13,13,20,4,0,3,7,0.4998185483870943,4.4358568548387085
4764,lastweek,Hassan Whiteside,59,INJ,Mount Zion💪🏾,0/0,0/0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,-0.0,-0.0
4840,lastweek,Kyrie Irving,100,,World B. Flat,18/45,5/7,2,76,45,18,0.4,7,5,0.714,19,10,0.526,51,2,9,11,13,0,1,2,4,1.4396733870967702,1.5343649193548379
4884,lastweek,Tristan Thompson,33,,World B. Flat,13/27,5/8,3,64,27,13,0.481,8,5,0.625,0,0,0.0,31,13,12,25,6,0,1,3,3,2.0927641129032226,1.089364919354838
